body_type,price,vat,make1,model1,short_description1_displ,km1,age1,hp1,Type1,Body_Color1,Upholstery1,Nr_of_Doors1,Nr_of_Seats1,Gearing_Type1,Displacement1,Cylinders1,Weight1,Drive_chain1,Fuel1,Consump_comb1,Consump_city1,Consump_country1,CO2_Emission1,Comfort_point1,Entertainment_point1,Extras_point1,Safety_point1,Gears1
Sedans,18490,VAT deductible,Audi,A1,1.4,41900.0,3.6684931506849314,92.0,Used,White,Part leather,3.0,4.0,Automatic,1.4,4.0,,front,Gasoline,5.1,5.1,5.1,121.0,17.0,7.0,6.0,13.0,
Compact,18480,VAT deductible,Audi,A1,1.4,15093.0,3.419178082191781,92.0,Used,Black,Cloth,4.0,5.0,Automatic,1.4,,,,Gasoline,4.9,4.9,4.9,11.0,15.0,5.0,2.0,13.0,
Sedans,18480,VAT deductible,Audi,A1,1.4,5211.0,1.83013698630137,66.0,Used,Red,Cloth,5.0,5.0,Automatic,1.4,3.0,,front,Diesel,4.0,4.0,4.0,104.0,16.0,4.0,2.0,10.0,7.0
Compact,18470,VAT deductible,Audi,A1,1.0,12000.0,1.6684931506849314,70.0,Used,White,Cloth,5.0,4.0,Automatic,1.0,3.0,,,Gasoline,4.6,4.6,4.6,107.0,14.0,7.0,4.0,11.0,7.0
Compact,18444,VAT deductible,Audi,A1,1.4,50066.0,3.8328767123287673,92.0,Used,Grey,Cloth,2.0,4.0,Automatic,1.4,,,front,Gasoline,4.9,4.9,4.9,11.0,15.0,5.0,3.0,14.0,
Compact,18400,VAT deductible,Audi,A1,1.0,51484.0,2.915068493150685,71.0,Used,Red,,5.0,4.0,Automatic,1.0,3.0,1065.0,front,Gasoline,4.4,4.4,4.4,103.0,9.0,2.0,1.0,11.0,
Sedans,18400,VAT deductible,Audi,A1,1.6,14770.0,1.5863013698630137,85.0,Employee's car,Black,Cloth,5.0,4.0,Automatic,1.6,4.0,,front,Diesel,3.8,3.8,3.8,99.0,1.0,,,7.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,12415.0,1.5863013698630137,85.0,Used,Black,,5.0,5.0,Automatic,1.6,4.0,1275.0,front,Diesel,4.0,4.0,4.0,105.0,3.0,6.0,,13.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,26064.0,1.5863013698630137,85.0,Used,Silver,Cloth,5.0,4.0,Automatic,1.6,4.0,1275.0,front,Diesel,4.0,4.0,4.0,105.0,5.0,5.0,1.0,12.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,16500.0,1.5863013698630137,85.0,Employee's car,Black,Cloth,5.0,5.0,Automatic,1.6,4.0,1275.0,front,Diesel,4.0,4.0,4.0,105.0,9.0,8.0,5.0,14.0,7.0
Sedans,18900,Price negotiable,Audi,A1,1.4,9000.0,3.5013698630136987,92.0,Used,Black,Cloth,5.0,4.0,Automatic,1.4,4.0,1215.0,front,Gasoline,4.9,4.9,4.9,11.0,4.0,1.0,2.0,13.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,12402.0,1.5863013698630137,85.0,Used,Black,,5.0,5.0,Automatic,1.6,4.0,1275.0,front,Diesel,4.0,4.0,4.0,105.0,3.0,6.0,,13.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,14702.0,1.5863013698630137,85.0,Used,White,,5.0,5.0,Automatic,1.6,4.0,1275.0,front,Diesel,4.0,4.0,4.0,105.0,3.0,6.0,,13.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,14523.0,1.5863013698630137,85.0,Employee's car,White,Cloth,5.0,4.0,Automatic,1.6,4.0,1275.0,front,Diesel,4.0,4.0,4.0,105.0,2.0,3.0,,8.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,9082.0,1.5863013698630137,85.0,Used,Black,,5.0,5.0,Automatic,1.6,4.0,1275.0,front,Diesel,4.0,4.0,4.0,105.0,3.0,6.0,,13.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,9580.0,1.5863013698630137,85.0,Used,Blue,,5.0,4.0,Automatic,1.6,4.0,1175.0,front,Diesel,3.5,3.5,3.5,9.0,3.0,3.0,3.0,8.0,5.0
Sedans,18900,VAT deductible,Audi,A1,1.6,10013.0,1.5013698630136987,85.0,Used,Blue,,5.0,4.0,Automatic,1.6,4.0,1175.0,front,Diesel,3.5,3.5,3.5,9.0,3.0,3.0,3.0,8.0,5.0
Sedans,18900,VAT deductible,Audi,A1,1.6,10450.0,1.4191780821917808,85.0,Used,Grey,,5.0,4.0,Automatic,1.6,4.0,1175.0,front,Diesel,3.5,3.5,3.5,9.0,3.0,3.0,3.0,8.0,5.0
Sedans,18900,VAT deductible,Audi,A1,1.6,14878.0,1.5863013698630137,85.0,Used,Silver,,5.0,5.0,Automatic,1.6,4.0,1275.0,front,Diesel,4.0,4.0,4.0,105.0,3.0,6.0,,13.0,7.0
Sedans,18900,VAT deductible,Audi,A1,1.6,10273.0,1.4191780821917808,85.0,Used,Grey,,5.0,4.0,Automatic,1.6,4.0,1175.0,front,Diesel,3.5,3.5,3.5,9.0,3.0,3.0,3.0,8.0,5.0
Compact,18900,,Audi,A1,1.0,47500.0,3.1671232876712327,71.0,Used,White,Cloth,5.0,4.0,Automatic,1.0,3.0,1065.0,front,Gasoline,4.4,4.4,4.4,103.0,17.0,3.0,2.0,12.0,7.0
